Sigla_uf,Nome_municipio,Entidade_executora,Cod_ibge,Cnpj,Valor_per_capita,Aut_repasse_delegacao_rede,Prev_ed_infantil,Desc_ed_infantil,Vl_pagar_ed_infantil,Prev_ens_fundamental,Desc_ens_fundamental,Vl_pagar_ens_fundamental,Prev_ens_medio,Desc_ens_medio,Vl_pagar_ens_medio,Data_arquivo
PA,SãO CAETANO DE ODIVELAS,PREF MUN DE SAO CAETANO DE ODIVELAS,1507102,05351614000131,165.35,Sim,"2149,55",0,"2149,55","72919,35",0,"72919,35","44644,5",0,"44644,5",2025-09-01
PA,SãO DOMINGOS DO ARAGUAIA,PREF MUN DE SAO DOMINGOS DO ARAGUAIA,1507151,83211391000110,172.32,Sim,"9132,96",0,"9132,96","80990,4",0,"80990,4","38427,36",0,"38427,36",2025-09-01
PA,SãO DOMINGOS DO CAPIM,PREF MUN DE SAO DOMINGOS DO CAPIM,1507201,05193115000163,176.96,Sim,92904,0,92904,"719342,4",0,"719342,4","69722,24",0,"69722,24",2025-09-01
PA,SãO FéLIX DO XINGU,PREF MUN DE SAO FELIX DO XINGU,1507300,05421300000168,188.59,Sim,"23385,16",0,"23385,16","578971,3",0,"578971,3","41489,8",0,"41489,8",2025-09-01
PA,SãO FRANCISCO DO PARá,PREF MUN DE SAO FRANCISCO DO PARA,1507409,05125992000105,156.05,Sim,"3433,1",0,"3433,1","107206,35",0,"107206,35","55865,9",0,"55865,9",2025-09-01
PA,SãO GERALDO DO ARAGUAIA,PREF MUN DE SAO GERALDO DO ARAGUAIA,1507458,10249241000122,176.96,Sim,"16988,16",0,"16988,16","152539,52",0,"152539,52","56450,24",0,"56450,24",2025-09-01
PA,SãO JOãO DA PONTA,PREF MUN DE SAO JOAO DA PONTA,1507466,01613320000180,156.62,Sim,"1722,82",0,"1722,82","47925,72",0,"47925,72","29131,32",0,"29131,32",2025-09-01
PA,SãO JOãO DE PIRABAS,PREF MUN DE SAO JOAO DE PIRABAS,1507474,22981153000108,155.66,Sim,"30042,38",0,"30042,38","282989,88",0,"282989,88","75339,44",0,"75339,44",2025-09-01
PA,SãO JOãO DO ARAGUAIA,PREF MUN DE SAO JOAO DO ARAGUAIA,1507508,05854534000107,176.96,Sim,17696,0,17696,"182268,8",0,"182268,8","56627,2",0,"56627,2",2025-09-01
PA,SãO MIGUEL DO GUAMá,PREF MUN DE SAO MIGUEL DO GUAMA,1507607,05193073000160,160.18,Sim,"13294,94",0,"13294,94","372578,68",0,"372578,68","84575,04",0,"84575,04",2025-09-01
PA,SãO SEBASTIãO DA BOA VISTA,PREF MUN DE SAO SEBASTIAO DA BOA VISTA,1507706,05105143000181,176.96,Sim,"96974,08",0,"96974,08","639887,36",0,"639887,36","113077,44",0,"113077,44",2025-09-01
PA,SAPUCAIA,PREF MUN DE SAPUCAIA,1507755,01617317000134,168.25,Sim,"15815,5",0,"15815,5","93715,25",0,"93715,25","9926,75",0,"9926,75",2025-09-01
PA,SENADOR JOSé PORFíRIO,PREF MUN DE SENADOR JOSE PORFIRIO,1507805,05421110000140,188.59,Sim,"42432,75",0,"42432,75","330221,09",0,"330221,09","3771,8",0,"3771,8",2025-09-01
